Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
The Abyss,09/08/1989,Adventure:Action:Thriller:Science Fiction,James Cameron,Ed Harris:Mary Elizabeth Mastrantonio,Michael Biehn:Leo Burmester,English,140,70000000,90000098,7.3,PG-13
In the Dead of Night,04/12/2023,Action:Thriller,Ryan Campbell,Seth Upchurch:Ryan Campbell,Ella Nutt:Chad Gordon,English,6,0,0,0,
American Samurai,02/12/2023,Science Fiction:Action:Adventure,Nathan Willard,Rosa Fortuny:Larkin Hastings,Maryalice Christie:Mikel Carlyon Mann,English,83,0,0,0,
Bay for Blood,02/12/2023,Horror:Thriller:Drama:Action,Harry Waldman,Isaly Viana:David Neylon,Jasper Hammer:Natara Easter,English,17,0,0,0,
Godzilla Minus One,03/11/2023,Science Fiction:Horror:Action,Takashi Yamazaki,Ryunosuke Kamiki:Hidetaka Yoshioka,Minami Hamabe:Kuranosuke Sasaki,Japanese:English,125,13000000,105100000,7.855,PG-13
Silent Night,30/11/2023,Action:Crime:Thriller:Drama,John Woo,Joel Kinnaman:Kid Cudi,Harold Torres:Catalina Sandino Moreno,No Language,104,0,0,6.296,R
Animal,01/12/2023,Action:Crime:Drama,Sandeep Reddy Vanga,Ranbir Kapoor:Rashmika Mandanna,Anil Kapoor:Bobby Deol,Hindi,201,13000000,108300000,6.47,R
The Bad Guys: A Very Bad Holiday,30/11/2023,Animation:Comedy:Family:Action,Bret Haaland,Michael Godere:Ezekiel Ajeigbe,Raul Ceballos:Chris Diamantopoulos,English,26,0,0,6.594,G
Hard Days,19/05/2023,Thriller:Crime:Action:Drama,Michihito Fujii,Junichi Okada:Go Ayano,Ryoko Hirosue:Hayato Isomura,Japanese,118,0,0,6.648,
IMMORTAL HEART,29/11/2023,Horror:Mystery:Action:Thriller:Drama:Fantasy,Wesley A. Clark,Benjamin Price:Wesley A. Clark,Ethan G. Jocis:Wesley A. Clark,English,30,565,0,10,R
A Fight,24/11/2023,Action:Thriller,Dylan Richardson,Laura Fulford:Harry Sams,Aaron Porter:Owen Winstead,English,3,200,0,0,NR
Due Justice,24/11/2023,Crime:Thriller:Action,Javier Reyna,Kellan Lutz:William Forsythe,Jeff Fahey:Efren Ramirez,English,98,0,0,6.6,R
Gundam Reconguista in G Movie IV: Love That Cries Out in Battle,22/07/2022,Animation:War:Adventure:Science Fiction:Action,Yoshiyuki Tomino,Mark Ishii:Yukari Fukui,Minako Kotobuki:Yu Shimamura,Japanese,101,0,0,10,
Double Trouble: Thomas' Teleporting Conundrum,17/11/2023,Comedy:Action,Jeffery S. Baker,Esau Price:Maxine Louthan,Edie Setnick:Myles Schortgen,English,4,0,0,0,NR
The Foreverglades,17/11/2023,Drama:Action:Horror,Isaac Shilling,Abigail Clark:McKenzie King,Jaron Lum Lock:Miguel Lian,English,11,1300,0,10,
The Hunger Games: The Ballad of Songbirds & Snakes,15/11/2023,Drama:Science Fiction:Action,Francis Lawrence,Tom Blyth:Rachel Zegler,Peter Dinklage:Jason Schwartzman,English,157,100000000,337134868,7.199,PG-13
The Burden of Nine Lives,11/11/2023,Action:Drama,Vega Montanez,Ari Brisbon:Alysha Wright,Steven Staine Fernandez:Brendon Sinclair Wilde,English,109,0,0,0,
Adventures of the Naked Umbrella,10/11/2023,Science Fiction:Action:Comedy,Gerald Brunskill,Jeremy Davies:Taryn Manning,Richard Riehle:Tom Arnold,English,97,0,0,0,
Arctic Armageddon,08/11/2023,Science Fiction:Action:Adventure,James Mahoney,Joe Finfera:Patrick Labyorteaux,Johnny Keatth:Sam Abe Jacobs,English,86,0,0,1,
Lock & Load,24/07/2023,Action:Thriller,Nathan Shepka,Nathan Shepka:Colin MacDougall,Graeme MacPherson:Tony MacDonald,English,105,0,0,0,
Lion-Girl,26/01/2024,Action:Science Fiction,Kurando Mitsutake,Tori Griffith:Derek Mears,Stefanie Estes:Myo Leong,English,121,0,0,5,
The Marvels,08/11/2023,Science Fiction:Adventure:Action,Nia DaCosta,Brie Larson:Teyonah Parris,Iman Vellani:Zawe Ashton,English:Urdu,105,274800000,207089999,6.213,PG-13
Godzilla vs. Megalon,03/11/2023,Science Fiction:Action,Takuya Uenishi,Kenji Sakamoto:Yohei Azakami,Yusuke Shirooka:Yuki Yamamoto,Japanese,10,0,0,7.944,
Sarabha,03/11/2023,History:Drama:Action,Kavi Raz,Kavi Raz:Ankur Rathee,Mukul Dev:Darren Tassell,English:Hindi:Punjabi,146,2500000,0,8.5,NR
Black Noise,03/11/2023,Action:Science Fiction:Horror:Thriller,Philippe Martinez,Jackson Rathbone:Alex Pettyfer,Eve Mauro:Ashton Leigh,English,86,0,0,4.8,
Deep Fear,18/10/2023,Horror:Thriller:Action:Mystery,Marcus Adams,Mãdãlina Ghenea:Ed Westwick,Macarena Gómez:Stany Coppet,English,84,0,0,5.769,
Rumble Through the Dark,03/11/2023,Thriller:Action,Parker Phillips,Aaron Eckhart:Bella Thorne,Marianne Jean-Baptiste:Ritchie Coster,English,116,0,0,6.274,R
Spider-Man: Far From Home,28/06/2019,Action:Adventure:Science Fiction,Jon Watts,Tom Holland:Samuel L. Jackson,Jake Gyllenhaal:Marisa Tomei,Czech:Dutch:English:German:Italian,129,160000000,1131927996,7.434,PG-13
Death Rumble,02/11/2023,Action:Horror,Rusty Nixon,Scotty Mac:Alice Mao,Twan Holliday:Christina Kardooni,English,85,0,0,0,
Knuckle Girl,25/10/2023,Action:Drama,Chang,Ayaka Miyoshi:Hideaki Ito,Yosuke Kubozuka:Goki Maeda,Japanese,107,0,0,6.778,
Darkness of Man,02/11/2023,Action:Thriller,James Cullen Bressack,Jean-Claude Van Damme:Eric Roberts,Kristanna Loken:Shannen Doherty,English,109,0,0,7.333,R
Godzilla 2000: Millennium,11/12/1999,Action:Adventure:Science Fiction,Takao Okawara,Takehiro Murata:Naomi Nishida,Mayu Suzuki:Hiroshi Abe,Japanese,107,8300000,25000000,6.901,PG
Bond of Justice: Kizuna,30/10/2023,Action:Thriller:Drama,Ryu Yamakita,Sonny Chiba:Casey Gagliardi,Cortney Palm:Hidetoshi Imura,Mandarin:English:Japanese,165,0,0,0,
Resident Evil,27/10/2023,Action:Horror,Holden Hall,Holden Hall:Milo Young,Joshua Worden:TJ Barr (Gingybread),English,11,300,0,10,PG-13
LEGO Marvel Avengers: Code Red,26/10/2023,Animation:Action:Family,Ken Cunningham,Laura Bailey:Trevor Devall,Haley Joel Osment:Steve Blum,English,46,0,0,6.416,G
Boudica,26/10/2023,Action:War,Jesse V. Johnson,Olga Kurylenko:Peter Franzén,Clive Standen:Lucy Martin,German,101,0,0,5.8,
Quid Games,27/10/2023,Action:Horror:Mystery:Thriller:Drama,Evan Baker,Nell Kessler:Erik Bloomquist,Forest Quaglia:Emily Creighton,English,75,0,0,10,
Freelance,05/10/2023,Action:Comedy,Pierre Morel,John Cena:Alison Brie,Juan Pablo Raba:Christian Slater,English,108,40000000,9112817,6.533,R
Bubby's Nightmare,24/10/2023,Mystery:Action,Andrew Warzecha,Andrew Warzecha:Benjamin Crooks,Stewart Warzecha,English,5,320,0,10,
I Bet You're Wondering How I Got Here,24/10/2023,Comedy:Action:Crime,Ryan Polly,Julio Cesar Cedillo:Gunner Willis,Eden Lee:Andre De'Sean Shanks,English,16,0,0,0,
The Hard Hit,20/10/2023,Action:Thriller:Crime,Darien Smith,Brian Ronan Mulroy:Jamie Ohlsen,Malachi Durant:Rob LaColla Jr.,English,76,0,0,0,NR
Leo,18/10/2023,Action:Crime:Thriller,Lokesh Kanagaraj,Vijay:Sanjay Dutt,Arjun Sarja:Trisha Krishnan,Tamil,163,42219285,71772785,6.919,NC-17
Sayen: Desert Road,19/10/2023,Action:Thriller,Alexander Witt,Rallén Montenegro:Enrique Arce,Jorge López:Katalina Sanchez,Spanish,94,0,0,6.193,
The Hatchling,17/10/2023,Action:Family:Science Fiction,Tim Cianfano,Carrie Gibson:April Consalo,Lamonte Forte-Jordan:Liam Krivcov,English,10,0,0,6.333,
"Justice League x RWBY: Super Heroes & Huntsmen, Part Two",17/10/2023,Animation:Action:Fantasy:Adventure,Kerry Shawcross,Troy Baker:Travis Willingham,Laura Bailey:Lindsay Jones,English,75,0,0,7.2,PG
Mortal Kombat Legends: Cage Match,17/10/2023,Animation:Action:Fantasy:Adventure,Ethan Spaulding,Joel McHale:Jennifer Grey,Dusan Brown:Grey DeLisle,English,80,0,0,6.759,R
Trial 22,28/08/2023,Horror:Action,John Ferrer,Corinna Brown:Graham O’Connor,Isabella Lake:Felix Garcia Guyer,English,9,13000,0,0,
Couch Man,13/10/2023,Documentary:Action,Kavon Zamanian,David Bubier:William Royce,Richard Allen:Tyler Hunt,English,89,0,0,0,
The Master Gardener VOL. 1: The Curve of Destiny,13/10/2023,Action:Comedy:War,Hamilton Hatch,Hamilton Hatch:Camden Randall,Ryan Christiansen:Mac Hatch,English:Russian,10,5,1,10,NR
The Replaceables,13/10/2023,Action:Comedy:Science Fiction,Robert Pralgo,Raymond Lloyd:Ernest Miller,Luther Biggs:Tonga Fifita,English,92,0,0,0,PG-13
The Bell Keeper,13/10/2023,Action:Horror,Colton Tran,Randy Couture:Kathleen Kenny,Reid Miller:Mike C. Manning,English,92,0,0,4.25,
Jigen Daisuke,12/10/2023,Action:Crime:Drama,Hajime Hashimoto,Tetsuji Tamayama:Yoko Maki,Kotoka Maki:Honami Sato,Spanish:Japanese,120,0,0,6.801,PG-13
Herd,13/10/2023,Horror:Action,Steven Pierce,Ellen Adair:Mitzi Akaha,Jeremy Holm:Amanda Fuller,English,97,0,0,3.375,
Heroes,07/09/2023,Action,Ricardo Arnaiz,Andrés Vázquez:Zury Shasho,Silverio Palacios:Gerardo Taracena,Spanish,90,0,0,7.625,
Awareness,16/03/2023,Science Fiction:Mystery:Thriller:Action,Daniel Benmayor,Carlos Scholz:Pedro Alonso,María Pedraza:Óscar Jaenada,Spanish,112,0,0,5.737,
