Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
The Godfather,14/03/1972,Drama,Francis Ford Coppola,Marlon Brando:Al Pacino:James Caan,Robert Duvall:Richard S. Castellano:Diane Keaton,en,175,6000000,245066411,8.695,R
Sound of Freedom,03/07/2023,Drama,Alejandro Gómez Monteverde,Jim Caviezel:Mira Sorvino:Bill Camp,Gerardo Taracena:Kurt Fuller:José Zúñiga,en,131,14500000,250600000,8.04,PG-13
Gone Girl,01/10/2014,Drama,David Fincher,Ben Affleck:Rosamund Pike:Neil Patrick Harris,Tyler Perry:Carrie Coon:Kim Dickens,en,149,61000000,369300000,7.893,R
The Inventor,15/09/2023,Drama,Jim Capobianco,Stephen Fry:Daisy Ridley:Marion Cotillard,Matt Berry:Natalie Palamides:Jim Capobianco,en,92,10000000,0,6.208,PG
Fifty Shades of Grey,11/02/2015,Drama,Sam Taylor-Johnson,Dakota Johnson:Jamie Dornan:Jennifer Ehle,Eloise Mumford:Victor Rasuk:Luke Grimes,en,125,40000000,571000000,5.88,R
Radical,19/10/2023,Drama,Christopher Zalla,Eugenio Derbez:Daniel Haddad:Jennifer Trejo,Mia Fernanda Solis:Danilo Guardiola Escobar:Gilberto Barraza,en,127,10000000,21066351,8.424,PG-13
The Iron Claw,21/12/2023,Drama,Sean Durkin,Zac Efron:Jeremy Allen White:Harris Dickinson,Stanley Simons:Holt McCallany:Maura Tierney,en,132,15900000,40130232,7.516,R
Perfect Days,10/11/2023,Drama,Wim Wenders,Koji Yakusho:Tokio Emoto:Arisa Nakano,Aoi Yamada:Yumi Asou:Sayuri Ishikawa,ja,124,14000000,20863259,7.911,PG
Mary and Max,09/02/2009,Drama,Adam Elliot,Toni Collette:Philip Seymour Hoffman:Eric Bana,Barry Humphries:Bethany Whitmore:Renée Geyer,en,92,8240000,1740429,7.849,NR
Fight Club,15/10/1999,Drama,David Fincher,Edward Norton:Brad Pitt:Helena Bonham Carter,Meat Loaf:Jared Leto:Zach Grenier,en,139,63000000,100853753,8.4,R
The Dark Knight,16/07/2008,Drama,Christopher Nolan,Christian Bale:Heath Ledger:Michael Caine,Gary Oldman:Aaron Eckhart:Maggie Gyllenhaal,en,152,185000000,1004558444,8.515,PG-13
All the Names of God,15/09/2023,Drama,Daniel Calparsoro,Luis Tosar:Inma Cuesta:Roberto Enríquez,Fernando Cayo:Nourdin Batán:Patricia Vico,es,105,0,0,6.477,
All the Names of God,15/09/2023,Drama,Daniel Calparsoro,Luis Tosar:Inma Cuesta:Roberto Enríquez,Fernando Cayo:Nourdin Batán:Patricia Vico,es,105,0,0,6.477,
A Woman,05/10/2022,Drama,Jean-Paul Civeyrac,Sophie Marceau:Johan Heldenbergh:Cristina Flutur,Michaël Erpelding:Héloïse Bousquet:Frédéric Matona,fr,93,2700000,0,4.6,
The Next 365 Days,19/08/2022,Drama,Barbara Białowąs,Anna-Maria Sieklucka:Michele Morrone:Simone Susinna,Magdalena Lamparska:Otar Saralidze:Ewa Kasprzyk,pl,112,0,0,6.455,R
Real Steel,28/09/2011,Drama,Shawn Levy,Hugh Jackman:Dakota Goyo:Evangeline Lilly,Kevin Durand:Anthony Mackie:Hope Davis,en,127,110000000,299300000,6.992,PG-13
The Lion King,24/06/1994,Drama,Roger Allers,Matthew Broderick:Moira Kelly:Nathan Lane,Ernie Sabella:Robert Guillaume:Rowan Atkinson,en,89,45000000,763455561,8.257,G
Carmen 1945,09/04/1988,Drama,Hideo Gosha,Rino Katase:Yûko Natori:Jinpachi Nezu,Kanô Miyuki:Kazuyo Matsui:Senri Yamazaki,ja,119,0,0,4,
The Lion King,12/07/2019,Drama,Jon Favreau,Chiwetel Ejiofor:John Oliver:James Earl Jones,John Kani:Alfre Woodard:JD McCrary,en,118,260000000,1663000000,7.116,PG
Silent Night,30/11/2023,Drama,John Woo,Joel Kinnaman:Kid Cudi:Harold Torres,Catalina Sandino Moreno:Valeria Santaella:Vinny O'Brien,en,104,0,0,6.291,R
Creed,25/11/2015,Drama,Ryan Coogler,Michael B. Jordan:Sylvester Stallone:Tessa Thompson,Phylicia Rashād:Andre Ward:Tony Bellew,en,133,37000000,17360000,7.414,PG-13
Parasite,30/05/2019,Drama,Bong Joon-ho,Song Kang-ho:Lee Sun-kyun:Cho Yeo-jeong,Choi Woo-shik:Park So-dam:Lee Jung-eun,ko,133,11363000,257591776,8.511,R
The Green Mile,10/12/1999,Drama,Frank Darabont,Tom Hanks:Michael Clarke Duncan:David Morse,Bonnie Hunt:Michael Jeter:Doug Hutchison,en,189,60000000,286801374,8.5,R
The Wolf of Wall Street,25/12/2013,Drama,Martin Scorsese,Leonardo DiCaprio:Jonah Hill:Margot Robbie,Kyle Chandler:Matthew McConaughey:Rob Reiner,en,180,100000000,392000000,8,R
The Imitation Game,14/11/2014,Drama,Morten Tyldum,Benedict Cumberbatch:Keira Knightley:Matthew Goode,Rory Kinnear:Allen Leech:Matthew Beard,en,113,14000000,233600000,8.004,PG-13
Me Before You,01/06/2016,Drama,Thea Sharrock,Emilia Clarke:Sam Claflin:Janet McTeer,Charles Dance:Brendan Coyle:Jenna Coleman,en,110,20000000,207945075,7.924,PG-13
Sleep,06/09/2023,Drama,Jason Yu,Jung Yu-mi:Lee Sun-kyun:Kim Kuk-hee,Lee Kyung-jin:Yoon Kyung-ho:Kim Keum-soon,ko,95,0,0,6.654,
Fifty Shades Freed,17/01/2018,Drama,James Foley,Dakota Johnson:Jamie Dornan:Eric Johnson,Eloise Mumford:Rita Ora:Luke Grimes,en,105,55000000,368300000,6.703,R
The Godfather Part II,20/12/1974,Drama,Francis Ford Coppola,Al Pacino:Robert Duvall:Diane Keaton,Robert De Niro:John Cazale:Talia Shire,en,202,13000000,102600000,8.576,R
King Kong,12/12/2005,Drama,Peter Jackson,Naomi Watts:Jack Black:Adrien Brody,Andy Serkis:Colin Hanks:Thomas Kretschmann,en,187,207000000,562363449,6.878,PG-13
Dragon Ball Z: Bardock - The Father of Goku,17/10/1990,Drama,Mitsuo Hashimoto,Masako Nozawa:Kazuyuki Sogabe:Yuko Mita,Takeshi Watabe:Kozo Shioya:Ryusei Nakao,ja,48,0,0,7.529,NR
24 Hours with Gaspar,06/10/2023,Drama,Yosep Anggi Noen,Reza Rahadian:Laura Basuki:Shenina Cinnamon,Dewi Irawan:Sal Priadi:Kristo Immanuel,id,98,0,0,7.088,R
Shooter,22/03/2007,Drama,Antoine Fuqua,Mark Wahlberg:Michael Peña:Danny Glover,Ned Beatty:Kate Mara:Elias Koteas,en,124,61000000,95700000,7.112,R
Scrapper,25/08/2023,Drama,Charlotte Regan,Lola Campbell:Harris Dickinson:Alin Uzun,Laura Aikman:Ambreen Razia:Asheq Akhtar,en,84,0,1234483,6.52,NR
Nightcrawler,23/10/2014,Drama,Dan Gilroy,Jake Gyllenhaal:Riz Ahmed:Rene Russo,Bill Paxton:Kevin Rahm:Michael Hyatt,en,118,8500000,50300000,7.706,R
Twilight,20/11/2008,Drama,Catherine Hardwicke,Kristen Stewart:Robert Pattinson:Billy Burke,Peter Facinelli:Elizabeth Reaser:Cam Gigandet,en,122,37000000,393616788,6.291,PG-13
Emanuelle and the White Slave Trade,20/04/1978,Drama,Joe D'Amato,Laura Gemser:Ely Galleani:Gabriele Tinti,Venantino Venantini:Pierre Marfurt:Gota Gobert,it,89,0,0,4.763,R
Heaven Is for Real,16/04/2014,Drama,Randall Wallace,Greg Kinnear:Kelly Reilly:Connor Corum,Thomas Haden Church:Jacob Vargas:Lane Styles,en,99,12000000,101300000,6.693,PG
Cinderella,06/03/2015,Drama,Kenneth Branagh,Lily James:Cate Blanchett:Richard Madden,Stellan Skarsgård:Holliday Grainger:Sophie McShera,en,105,95000000,543514353,6.812,PG
State of Siege: Temple Attack,09/07/2021,Drama,Ken Ghosh,Akshaye Khanna:Gautam Rode:Vivek Dahiya,Abhimanyu Singh:Parvin Dabas:Samir Soni,hi,106,0,0,6.1,
Civil War,10/04/2024,Drama,Alex Garland,Kirsten Dunst:Wagner Moura:Cailee Spaeny,Nick Offerman:Stephen McKinley Henderson:Jefferson White,en,109,75000000,0,0,R
The Passion of the Christ,25/02/2004,Drama,Mel Gibson,Jim Caviezel:Maia Morgenstern:Christo Jivkov,Francesco De Vito:Monica Bellucci:Mattia Sbragia,en,127,30000000,611900000,7.475,R
20th Century Girl,06/10/2022,Drama,Bang Woo-ri,Kim You-jung:Byeon Woo-seok:Park Jung-woo,Roh Yoon-seo:Kim Sung-kyung:Jeong Seok-yong,ko,119,119,0,8.192,
American Psycho,13/04/2000,Drama,Mary Harron,Christian Bale:Willem Dafoe:Jared Leto,Josh Lucas:Samantha Mathis:Matt Ross,en,102,7000000,34300000,7.404,R
San Andreas,27/05/2015,Drama,Brad Peyton,Dwayne Johnson:Alexandra Daddario:Carla Gugino,Ioan Gruffudd:Archie Panjabi:Paul Giamatti,en,114,110000000,473990832,6.231,PG-13
Joker,01/10/2019,Drama,Todd Phillips,Joaquin Phoenix:Robert De Niro:Zazie Beetz,Frances Conroy:Brett Cullen:Shea Whigham,en,122,55000000,1074500000,8.164,R
The Dark Knight Rises,17/07/2012,Drama,Christopher Nolan,Christian Bale:Michael Caine:Gary Oldman,Anne Hathaway:Tom Hardy:Marion Cotillard,en,165,250000000,1081041287,7.779,PG-13
Ferrari,14/12/2023,Drama,Michael Mann,Adam Driver:Penélope Cruz:Shailene Woodley,Patrick Dempsey:Jack O'Connell:Gabriel Leone,en,131,95000000,39220516,6.537,R
Once Upon a Time... in Hollywood,24/07/2019,Drama,Quentin Tarantino,Leonardo DiCaprio:Brad Pitt:Margot Robbie,Emile Hirsch:Margaret Qualley:Timothy Olyphant,en,162,95000000,374300000,7.44,R
War for the Planet of the Apes,11/07/2017,Drama,Matt Reeves,Andy Serkis:Woody Harrelson:Karin Konoval,Terry Notary:Steve Zahn:Amiah Miller,en,140,150000000,490700000,7.171,PG-13
One Day,02/03/2011,Drama,Lone Scherfig,Anne Hathaway:Jim Sturgess:Tom Mison,Jodie Whittaker:Rafe Spall:Patricia Clarkson,en,107,15000000,59400000,7.426,PG-13
Drive,15/09/2011,Drama,Nicolas Winding Refn,Ryan Gosling:Carey Mulligan:Bryan Cranston,Albert Brooks:Oscar Isaac:Christina Hendricks,en,100,15000000,78100000,7.576,R
Spider-Man: Homecoming,05/07/2017,Drama,Jon Watts,Tom Holland:Michael Keaton:Robert Downey Jr.,Marisa Tomei:Jon Favreau:Gwyneth Paltrow,en,133,175000000,880166924,7.3,PG-13
The Twilight Saga: Breaking Dawn - Part 2,13/11/2012,Drama,Bill Condon,Robert Pattinson:Kristen Stewart:Taylor Lautner,Peter Facinelli:Elizabeth Reaser:Ashley Greene,en,115,120000000,829747654,6.5,PG-13
Schindler's List,15/12/1993,Drama,Steven Spielberg,Liam Neeson:Ben Kingsley:Ralph Fiennes,Caroline Goodall:Jonathan Sagall:Embeth Davidtz,en,195,22000000,321365567,8.6,R
Saving Private Ryan,24/07/1998,Drama,Steven Spielberg,Tom Hanks:Tom Sizemore:Edward Burns,Matt Damon:Barry Pepper:Adam Goldberg,en,169,70000000,481840909,8.213,R
The Darkest Minds,25/07/2018,Drama,Jennifer Yuh Nelson,Amandla Stenberg:Harris Dickinson:Patrick Gibson,Skylan Brooks:Mandy Moore:Miya Cech,en,105,34000000,41142379,7.037,PG-13
Scarface,09/12/1983,Drama,Brian De Palma,Al Pacino:Steven Bauer:Michelle Pfeiffer,Mary Elizabeth Mastrantonio:Robert Loggia:Miriam Colon,en,170,25000000,66023329,8.167,R
Infiltration,02/06/2022,Drama,Aleksey Chadov,Aleksey Chadov:Kristina Asmus:Viktor Sukhorukov,Artyom Tkachenko:Vitaly Kishchenko:Djalil Asretov,ru,110,0,0,7.1,
All Ladies Do It,21/02/1992,Drama,Tinto Brass,Claudia Koll:Paolo Lanza:Ornella Marcucci,Isabella Deiana:Franco Branciaroli:Renzo Rinaldi,it,93,0,0,4.92,
